#,t,action_type,mo,location,value,wval,rf
1,1,thread start,seq_cst,0x7fb4c46910d0,-559038737,?,?
2,1,pthread create,seq_cst,0x7ffcf7909ae0,-141518256,?,?
3,2,thread start,seq_cst,0x7fb4c5e12a18,-559038737,?,?
4,1,pthread create,seq_cst,0x7ffcf7909ae8,-141518256,?,?
5,3,thread start,seq_cst,0x7fb4c6013f98,-559038737,?,?
6,1,pthread create,seq_cst,0x7ffcf7909af0,-141518256,?,?
7,4,thread start,seq_cst,0x7fb4c62154e8,-559038737,?,?
8,2,atomic read,relaxed,0x602084,0,?,0
9,2,atomic write,relaxed,0x602084,1,?,?
10,2,atomic read,relaxed,0x602084,1,?,9
11,2,atomic write,relaxed,0x602084,2,?,?
12,3,atomic read,relaxed,0x602084,1,?,9
13,3,atomic write,relaxed,0x602084,2,?,?
14,4,atomic read,relaxed,0x602084,1,?,9
15,4,atomic write,relaxed,0x602084,2,?,?
16,2,atomic read,relaxed,0x602084,2,?,15
17,2,atomic write,relaxed,0x602084,3,?,?
18,4,atomic read,relaxed,0x602084,2,?,15
19,4,atomic write,relaxed,0x602084,3,?,?
20,2,atomic read,relaxed,0x602084,3,?,19
21,2,atomic write,relaxed,0x602084,4,?,?
22,3,atomic read,relaxed,0x602084,3,?,19
23,3,atomic write,relaxed,0x602084,4,?,?
24,3,atomic read,relaxed,0x602084,4,?,21
25,3,atomic write,relaxed,0x602084,5,?,?
26,4,atomic read,relaxed,0x602084,5,?,25
27,4,atomic write,relaxed,0x602084,6,?,?
28,3,atomic read,relaxed,0x602084,6,?,27
29,3,atomic write,relaxed,0x602084,7,?,?
30,3,atomic read,relaxed,0x602084,7,?,29
31,3,atomic write,relaxed,0x602084,8,?,?
32,4,atomic read,relaxed,0x602084,8,?,31
33,4,atomic write,relaxed,0x602084,9,?,?
34,2,atomic read,relaxed,0x602084,9,?,33
35,2,atomic write,relaxed,0x602084,10,?,?
36,2,atomic read,relaxed,0x602084,10,?,35
37,2,atomic write,relaxed,0x602084,11,?,?
38,4,atomic read,relaxed,0x602084,11,?,37
39,4,atomic write,relaxed,0x602084,12,?,?
40,2,atomic read,relaxed,0x602084,12,?,39
41,2,atomic write,relaxed,0x602084,13,?,?
42,2,atomic read,relaxed,0x602084,13,?,41
43,2,atomic write,relaxed,0x602084,14,?,?
44,4,atomic read,relaxed,0x602084,14,?,43
45,4,atomic write,relaxed,0x602084,15,?,?
46,4,atomic read,relaxed,0x602084,15,?,45
47,4,atomic write,relaxed,0x602084,16,?,?
48,3,atomic read,relaxed,0x602084,15,?,45
49,3,atomic write,relaxed,0x602084,16,?,?
50,4,atomic read,relaxed,0x602084,16,?,49
51,4,atomic write,relaxed,0x602084,17,?,?
52,4,atomic read,relaxed,0x602084,17,?,51
53,4,atomic write,relaxed,0x602084,18,?,?
54,3,atomic read,relaxed,0x602084,16,?,49
55,3,atomic write,relaxed,0x602084,17,?,?
56,3,atomic read,relaxed,0x602084,17,?,55
57,3,atomic write,relaxed,0x602084,18,?,?
58,3,atomic read,relaxed,0x602084,18,?,57
59,3,atomic write,relaxed,0x602084,19,?,?
60,4,atomic read,relaxed,0x602084,18,?,53
61,4,atomic write,relaxed,0x602084,19,?,?
62,2,atomic read,relaxed,0x602084,16,?,47
63,2,atomic write,relaxed,0x602084,17,?,?
64,2,atomic read,relaxed,0x602084,18,?,53
65,2,atomic write,relaxed,0x602084,19,?,?
66,3,atomic read,relaxed,0x602084,19,?,61
67,3,atomic write,relaxed,0x602084,20,?,?
68,2,atomic read,relaxed,0x602084,17,?,55
69,2,atomic write,relaxed,0x602084,18,?,?
70,3,atomic read,relaxed,0x602084,20,?,67
71,3,atomic write,relaxed,0x602084,21,?,?
72,2,atomic read,relaxed,0x602084,18,?,69
73,2,atomic write,relaxed,0x602084,19,?,?
74,4,atomic read,relaxed,0x602084,18,?,69
75,4,atomic write,relaxed,0x602084,19,?,?
76,4,atomic read,relaxed,0x602084,21,?,71
77,4,atomic write,relaxed,0x602084,22,?,?
78,2,atomic read,relaxed,0x602084,21,?,71
79,2,atomic write,relaxed,0x602084,22,?,?
80,2,atomic read,relaxed,0x602084,22,?,77
81,2,atomic write,relaxed,0x602084,23,?,?
82,3,atomic read,relaxed,0x602084,22,?,77
83,3,atomic write,relaxed,0x602084,23,?,?
84,3,atomic read,relaxed,0x602084,23,?,83
85,3,atomic write,relaxed,0x602084,24,?,?
86,4,atomic read,relaxed,0x602084,22,?,77
87,4,atomic write,relaxed,0x602084,23,?,?
88,3,atomic read,relaxed,0x602084,23,?,81
89,3,atomic write,relaxed,0x602084,24,?,?
90,3,atomic read,relaxed,0x602084,23,?,87
91,3,atomic write,relaxed,0x602084,24,?,?
92,3,atomic read,relaxed,0x602084,24,?,91
93,3,atomic write,relaxed,0x602084,25,?,?
94,4,atomic read,relaxed,0x602084,25,?,93
95,4,atomic write,relaxed,0x602084,26,?,?
96,2,atomic read,relaxed,0x602084,24,?,89
97,2,atomic write,relaxed,0x602084,25,?,?
98,2,atomic read,relaxed,0x602084,26,?,95
99,2,atomic write,relaxed,0x602084,27,?,?
100,3,atomic read,relaxed,0x602084,25,?,93
101,3,atomic write,relaxed,0x602084,26,?,?
102,3,atomic read,relaxed,0x602084,27,?,99
103,3,atomic write,relaxed,0x602084,28,?,?
104,2,atomic read,relaxed,0x602084,27,?,99
105,2,atomic write,relaxed,0x602084,28,?,?
106,4,atomic read,relaxed,0x602084,26,?,95
107,4,atomic write,relaxed,0x602084,27,?,?
108,4,atomic read,relaxed,0x602084,27,?,107
109,4,atomic write,relaxed,0x602084,28,?,?
110,4,atomic read,relaxed,0x602084,28,?,103
111,4,atomic write,relaxed,0x602084,29,?,?
112,2,atomic read,relaxed,0x602084,28,?,109
113,2,atomic write,relaxed,0x602084,29,?,?
114,2,atomic read,relaxed,0x602084,28,?,103
115,2,atomic write,relaxed,0x602084,29,?,?
116,4,atomic read,relaxed,0x602084,29,?,115
117,4,atomic write,relaxed,0x602084,30,?,?
